idea	total	max	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	summary
01-crypto-compliance-ai	72	100	8	8	6	6	8	7	5	7	9	8	MiCA compliance AI for EU crypto firms. Strong team fit (Jeroen's Kraken network) but small TAM.
09-regulatory-change-intel	71	100	8	9	6	6	7	8	7	7	7	6	AI regulatory change monitoring for financial services. Large TAM, strong growth, but crowded.
05-crypto-treasury-ops	68	100	7	7	7	7	7	7	5	5	8	8	Crypto treasury management for institutions. Good team fit, clear gap, but tiny TAM and cost-sensitive buyers.
08-defi-analytics	65	100	7	7	6	7	7	8	5	6	7	5	DeFi risk analytics for institutions. Great wedge (risk score API) but cyclical market and no timing catalyst.
06-ai-due-diligence	64	100	8	6	5	6	7	7	6	7	6	6	AI due diligence for M&A. Clear pain, per-deal economics work, but crowded space and moderate team fit.
02-ai-eval-platform	62	100	7	8	5	5	8	6	7	6	6	4	LLM eval platform. Karel can build it, but red ocean with no timing catalyst. Generic team fit.
04-enterprise-process-agents	62	100	8	7	6	6	5	7	4	7	6	6	AI agents for enterprise back-office. Huge pain but technically hard, tiny airline TAM, long sales cycles.
03-financial-doc-intelligence	60	100	7	6	4	5	7	6	6	6	5	8	Financial document AI. CSRD catalyst, but extremely crowded space with weak team fit.
10-ai-pricing-optimization	59	100	7	6	4	4	7	7	7	5	4	3	E-commerce repricing. Mature, crowded market. No team fit, no timing catalyst. Avoid.
07-airline-ops-ai	57	100	9	6	5	6	5	6	3	7	5	4	Airline IROPS AI. Massive pain but tiny TAM, long sales cycles, technically hardest, weak team fit.
